text,class
"Нужна кровь для кролика",getblood
"Срочно нужна кровь для питбуля",getblood
"Помогите, кровь для черепахи",getblood
"Куда обратиться за кровью для ежа?",getblood
"Срочно нужна кровь для котенка",getblood
"Нужно переливание крови для хорька",getblood
"Где взять кровь для попугая?",getblood
"Помогите с кровью для собаки",getblood
"Нужна кровь для голубя",getblood
"Срочно нужна кровь для кошки",getblood
"Где можно взять кровь для кролика?",getblood
"Помогите, пожалуйста, с кровью для попугая",getblood
"Нужна кровь для собаки",getblood
"Срочно нужна кровь для котенка",getblood
"Где взять кровь для попугая?",getblood
"Помогите с кровью для кролика",getblood
"Нужна кровь для попугая",getblood
"Срочно нужна кровь!",getblood
"Кто может помочь с кровью?",getblood
"Помогите с кровью, пожалуйста!",getblood
"Кровь нужна срочно!",getblood
"Где взять кровь?",getblood
"Нужен донор!",getblood
"Кровь нужна, срочно!",getblood
"Где взять кровь для трансфузии?",getblood
"Помогите спасти жизнь, кровь нужна!",getblood
"Срочно требуется переливание крови!",getblood
"Где найти кровь?",getblood
"Срочно нужен донор крови!",getblood
"Кровь срочно нужна, помогите!",getblood
"Как найти донора крови?",getblood
"Срочно нужно переливание крови!",getblood
"Помогите найти кровь!",getblood
"Как получить кровь для трансфузии?",getblood
"Срочно нужен донор крови, куда обратиться?",getblood
"Как получить кровь?",getblood
"Помогите, кровь нужна!",getblood
"Срочно требуется кровь!",getblood
"Где взять кровь для переливания?",getblood
"Кровь нужна, срочно ищем донора!",getblood
"Срочно нужна кровь для спасения жизни!",getblood
"Как быстро найти кровь?",getblood
"Помогите спасти жизнь, срочно нужна кровь!",getblood
"Срочно нужен донор крови, кто может помочь?",getblood
"Где взять кровь для переливания?",getblood
"Кровь срочно нужна, кто может помочь?",getblood
"Срочно требуется кровь для переливания!",getblood
"Помогите найти донора крови!",getblood
"Срочно нужна кровь, куда обратиться?",getblood
"Как получить кровь для спасения жизни?",getblood
"Кровь срочно нужна, как найти донора?",getblood
"Срочно нужен донор крови для спасения жизни!",getblood
"Где можно получить кровь для переливания?",getblood
"Срочно нужна кровь, кто может помочь?",getblood
"Как быстро найти донора крови?",getblood
"Кровь срочно нужна для спасения жизни!",getblood
"Срочно требуется кровь, куда обратиться?",getblood
